txn_id,date,account_id,type,gross_amount,fee_amount,net_amount
TXN-2372689,2024-11-01,ACC-1105,payment,2359.93,68.74,2291.19
TXN-3193927,2024-11-01,ACC-1061,payment,1914.70,55.83,1858.87
TXN-3757577,2024-11-01,ACC-1054,payment,921.91,22.38,899.53
TXN-3855064,2024-11-01,ACC-1121,payment,1630.50,39.38,1591.12
TXN-4952126,2024-11-01,ACC-1119,payment,1832.64,44.23,1788.41
TXN-5018335,2024-11-01,ACC-1074,transfer,4251.83,25.61,4226.22
TXN-5463632,2024-11-01,ACC-1061,payment,497.53,14.73,482.80
TXN-5760358,2024-11-01,ACC-1047,payment,371.62,7.26,364.36
TXN-6202429,2024-11-01,ACC-1098,transfer,3761.66,15.10,3746.56
TXN-6332769,2024-11-01,ACC-1003,payment,1145.98,27.75,1118.23
TXN-6459973,2024-11-01,ACC-1069,payment,2168.14,63.18,2104.96
TXN-6533085,2024-11-01,ACC-1100,payment,1308.43,38.24,1270.19
TXN-6765878,2024-11-01,ACC-1051,transfer,4407.17,17.68,4389.49
TXN-6913721,2024-11-01,ACC-1074,payment,270.22,6.74,263.48
TXN-7660063,2024-11-01,ACC-1054,payment,204.93,5.17,199.76
TXN-7949255,2024-11-01,ACC-1015,payment,656.72,19.34,637.38
TXN-8290675,2024-11-01,ACC-1007,transfer,3698.75,29.69,3669.06
TXN-8484930,2024-11-01,ACC-1001,payment,592.96,14.48,578.48
TXN-8600908,2024-11-01,ACC-1076,payment,532.65,13.03,519.62
TXN-8811177,2024-11-01,ACC-1068,payment,1029.39,24.96,1004.43
TXN-8845559,2024-11-01,ACC-1118,transfer,2365.76,19.03,2346.73
TXN-9067105,2024-11-01,ACC-1034,payment,1032.34,30.24,1002.10
TXN-9230071,2024-11-01,ACC-1051,payment,78.83,1.70,77.13
TXN-9424449,2024-11-01,ACC-1123,payment,2073.74,50.02,2023.72
TXN-1232289,2024-11-02,ACC-1015,payment,1040.21,30.47,1009.74
TXN-1634559,2024-11-02,ACC-1069,payment,1319.90,38.58,1281.32
TXN-2134482,2024-11-02,ACC-1002,payment,139.01,4.33,134.68
TXN-2176115,2024-11-02,ACC-1014,payment,1513.51,44.19,1469.32
TXN-2366673,2024-11-02,ACC-1053,payment,16.25,0.77,15.48
TXN-2532426,2024-11-02,ACC-1026,payment,1049.21,30.73,1018.48
