txn_id,date,account_id,type,gross_amount,fee_amount,net_amount
TXN-5522460,2024-11-13,ACC-1001,payment,1534.00,37.07,1496.93
TXN-4335898,2025-05-01,ACC-1030,payment,1154.17,22.13,1132.04
TXN-5532976,2025-05-01,ACC-1001,transfer,3276.31,19.76,3256.55
TXN-6799479,2025-05-01,ACC-1040,payment,776.09,18.88,757.21
TXN-8651149,2025-05-01,ACC-1036,payment,1754.33,51.18,1703.15
TXN-1526679,2025-05-02,ACC-1037,payment,841.11,24.69,816.42
TXN-1864681,2025-05-02,ACC-1013,transfer,1861.17,11.27,1849.90
TXN-3974339,2025-05-02,ACC-1001,payment,680.56,16.58,663.98
TXN-9044147,2025-05-02,ACC-1020,payment,547.85,16.19,531.66
TXN-1022221,2025-05-03,ACC-1031,payment,1528.94,44.64,1484.30
TXN-1131440,2025-05-03,ACC-1015,payment,354.32,10.58,343.74
TXN-1267445,2025-05-03,ACC-1030,payment,718.94,13.86,705.08
TXN-4005402,2025-05-03,ACC-1002,transfer,3941.52,31.63,3909.89
TXN-7667999,2025-05-03,ACC-1015,payment,78.35,2.57,75.78
TXN-2802604,2025-05-04,ACC-1030,payment,1234.97,23.66,1211.31
TXN-5326153,2025-05-04,ACC-1034,payment,1483.50,43.32,1440.18
TXN-6193866,2025-05-04,ACC-1036,refund,103.96,0.25,103.71
TXN-7508163,2025-05-04,ACC-1017,payment,720.17,21.18,698.99
TXN-2190139,2025-05-05,ACC-1004,payment,182.17,3.66,178.51
TXN-3319438,2025-05-05,ACC-1011,payment,2363.62,68.84,2294.78
TXN-3987906,2025-05-05,ACC-1014,payment,1129.32,33.05,1096.27
TXN-5595550,2025-05-06,ACC-1015,payment,1478.19,43.17,1435.02
TXN-7721635,2025-05-06,ACC-1019,payment,909.73,26.68,883.05
TXN-7849316,2025-05-06,ACC-1026,refund,364.96,0.25,364.71
TXN-5359921,2025-05-07,ACC-1039,transfer,2696.18,21.67,2674.51
TXN-3736029,2025-05-08,ACC-1001,payment,1091.45,26.44,1065.01
TXN-4928417,2025-05-08,ACC-1016,payment,1246.80,36.46,1210.34
TXN-6213846,2025-05-08,ACC-1040,transfer,2954.29,17.83,2936.46
TXN-8030367,2025-05-09,ACC-1009,transfer,3033.95,24.37,3009.58
TXN-1228959,2025-05-10,ACC-1009,payment,1085.31,31.77,1053.54
TXN-4314985,2025-05-10,ACC-1020,payment,1129.02,33.04,1095.98
TXN-1282547,2025-05-11,ACC-1013,transfer,1450.64,8.80,1441.84
TXN-2025465,2025-05-11,ACC-1005,payment,1800.22,34.40,1765.82
TXN-2351631,2025-05-11,ACC-1007,refund,229.52,0.25,229.27
TXN-4520866,2025-05-11,ACC-1030,payment,1185.31,22.72,1162.59
TXN-7543959,2025-05-11,ACC-1021,payment,2495.46,72.67,2422.79
TXN-6922676,2025-05-12,ACC-1017,payment,800.64,23.52,777.12
TXN-1765990,2025-05-13,ACC-1038,payment,904.69,21.96,882.73
TXN-2188000,2025-05-13,ACC-1030,payment,1791.97,34.25,1757.72
TXN-2558727,2025-05-13,ACC-1021,payment,499.15,14.78,484.37
TXN-2868420,2025-05-13,ACC-1007,payment,1758.98,51.31,1707.67
TXN-3137915,2025-05-13,ACC-1024,payment,348.70,6.83,341.87
TXN-4349198,2025-05-14,ACC-1038,transfer,1583.50,9.60,1573.90
TXN-4766497,2025-05-15,ACC-1004,transfer,2111.33,8.50,2102.83
TXN-4944967,2025-05-16,ACC-1007,payment,2084.67,60.76,2023.91
TXN-3814074,2025-05-17,ACC-1006,payment,552.74,16.33,536.41
TXN-9436768,2025-05-17,ACC-1003,payment,2202.63,53.11,2149.52
TXN-6987036,2025-05-18,ACC-1001,payment,1111.71,26.93,1084.78
TXN-7431708,2025-05-18,ACC-1008,transfer,4336.38,17.40,4318.98
TXN-9415987,2025-05-18,ACC-1027,payment,2403.12,69.99,2333.13
TXN-4331516,2025-05-19,ACC-1005,payment,484.19,9.40,474.79
TXN-5887639,2025-05-19,ACC-1014,payment,535.22,15.82,519.40
TXN-6256125,2025-05-19,ACC-1024,payment,2005.32,38.30,1967.02
TXN-9570701,2025-05-19,ACC-1023,refund,350.63,0.20,350.43
TXN-1734480,2025-05-20,ACC-1031,payment,1824.27,53.20,1771.07
TXN-2821970,2025-05-20,ACC-1013,payment,39.81,1.21,38.60
TXN-3428508,2025-05-20,ACC-1024,refund,44.40,0.20,44.20
TXN-3868358,2025-05-20,ACC-1026,payment,293.52,8.81,284.71
TXN-8690772,2025-05-20,ACC-1018,payment,1465.52,42.80,1422.72
TXN-6161699,2025-05-21,ACC-1040,transfer,180.90,1.19,179.71
TXN-5177235,2025-05-22,ACC-1001,payment,1579.31,38.15,1541.16
TXN-5857190,2025-05-22,ACC-1028,payment,304.83,9.14,295.69
TXN-8267363,2025-05-22,ACC-1039,refund,53.44,0.25,53.19
