txn_id,date,account_id,type,gross_amount,fee_amount,net_amount
TXN-1104145,2025-02-01,ACC-1060,payment,856.43,20.80,835.63
TXN-1758084,2025-02-01,ACC-1090,payment,559.03,16.51,542.52
TXN-2295417,2025-02-01,ACC-1091,payment,1686.59,49.21,1637.38
TXN-3769110,2025-02-01,ACC-1106,payment,654.91,19.29,635.62
TXN-3773323,2025-02-01,ACC-1103,payment,580.42,17.13,563.29
TXN-3942437,2025-02-01,ACC-1020,refund,296.46,0.15,296.31
TXN-4184017,2025-02-01,ACC-1051,payment,1984.55,32.87,1951.68
TXN-4836074,2025-02-01,ACC-1064,payment,1562.63,45.62,1517.01
TXN-5877062,2025-02-01,ACC-1004,payment,2163.92,63.05,2100.87
TXN-5995836,2025-02-01,ACC-1118,payment,340.09,10.16,329.93
TXN-6180190,2025-02-01,ACC-1094,payment,680.93,11.36,669.57
TXN-7608199,2025-02-01,ACC-1039,transfer,854.18,5.23,848.95
TXN-7941043,2025-02-01,ACC-1063,payment,365.11,10.89,354.22
TXN-9033499,2025-02-01,ACC-1049,payment,1008.58,29.55,979.03
TXN-9237124,2025-02-01,ACC-1073,transfer,3305.83,19.93,3285.90
TXN-9423521,2025-02-01,ACC-1104,payment,2309.56,38.23,2271.33
TXN-9645637,2025-02-01,ACC-1029,transfer,4389.77,35.22,4354.55
TXN-1564814,2025-02-02,ACC-1118,payment,2421.70,70.53,2351.17
TXN-2406314,2025-02-02,ACC-1074,refund,199.08,0.25,198.83
TXN-3883316,2025-02-02,ACC-1008,payment,182.48,5.59,176.89
TXN-3950846,2025-02-02,ACC-1118,refund,239.50,0.25,239.25
TXN-4478127,2025-02-02,ACC-1063,payment,1279.39,37.40,1241.99
TXN-4912069,2025-02-02,ACC-1116,payment,863.11,20.96,842.15
TXN-4973132,2025-02-02,ACC-1005,payment,2327.55,56.11,2271.44
TXN-5537979,2025-02-02,ACC-1062,payment,835.75,24.54,811.21
TXN-6035958,2025-02-02,ACC-1044,payment,1122.67,32.86,1089.81
TXN-6670439,2025-02-02,ACC-1008,payment,2031.47,59.21,1972.26
TXN-6849423,2025-02-02,ACC-1001,payment,2411.06,70.22,2340.84
TXN-6937581,2025-02-02,ACC-1109,transfer,2146.16,17.27,2128.89
TXN-7604953,2025-02-02,ACC-1030,refund,337.28,0.25,337.03
TXN-9081240,2025-02-02,ACC-1092,transfer,941.53,7.63,933.90
TXN-9329647,2025-02-02,ACC-1071,refund,6.71,0.25,6.46
TXN-9449214,2025-02-02,ACC-1031,transfer,754.93,2.68,752.25
TXN-1185324,2025-02-03,ACC-1046,transfer,4863.01,39.00,4824.01
TXN-1476065,2025-02-03,ACC-1099,payment,652.88,10.89,641.99
TXN-2050215,2025-02-03,ACC-1016,payment,1904.07,45.95,1858.12
TXN-3105180,2025-02-03,ACC-1081,transfer,1274.83,10.30,1264.53
TXN-3784102,2025-02-03,ACC-1046,payment,882.45,25.89,856.56
TXN-3829105,2025-02-03,ACC-1040,transfer,1762.18,6.21,1755.97
TXN-4049779,2025-02-03,ACC-1114,payment,49.81,1.74,48.07
TXN-4181088,2025-02-03,ACC-1069,transfer,1605.16,12.94,1592.22
TXN-4226216,2025-02-03,ACC-1080,payment,1244.51,36.39,1208.12
TXN-4619652,2025-02-03,ACC-1116,payment,19.48,0.72,18.76
TXN-4700637,2025-02-03,ACC-1008,payment,2230.32,64.98,2165.34
TXN-4861895,2025-02-03,ACC-1020,payment,1110.66,18.45,1092.21
TXN-5111103,2025-02-03,ACC-1025,refund,93.07,0.25,92.82
TXN-5330222,2025-02-03,ACC-1025,refund,80.80,0.25,80.55
TXN-5343335,2025-02-03,ACC-1013,payment,224.66,5.64,219.02
TXN-6381302,2025-02-03,ACC-1071,payment,755.26,18.38,736.88
TXN-6903943,2025-02-03,ACC-1122,payment,2245.21,65.41,2179.80
TXN-8032266,2025-02-03,ACC-1059,payment,1710.14,41.29,1668.85
TXN-8927405,2025-02-03,ACC-1115,payment,1037.46,25.15,1012.31
TXN-9226105,2025-02-03,ACC-1029,payment,944.26,27.68,916.58
TXN-9424372,2025-02-03,ACC-1052,payment,1453.59,35.14,1418.45
TXN-9750162,2025-02-03,ACC-1053,payment,28.23,1.12,27.11
