txn_id,date,account_id,type,gross_amount,fee_amount,net_amount
TXN-1379321,2024-01-01,ACC-1041,payment,1393.55,40.71,1352.84
TXN-1485001,2024-01-01,ACC-1008,payment,1899.64,55.39,1844.25
TXN-1704375,2024-01-01,ACC-1071,payment,1790.62,43.22,1747.40
TXN-2808466,2024-01-01,ACC-1098,transfer,1733.12,13.96,1719.16
TXN-3467496,2024-01-01,ACC-1129,transfer,3213.96,25.81,3188.15
TXN-4243728,2024-01-01,ACC-1117,payment,170.24,4.34,165.90
TXN-4437552,2024-01-01,ACC-1100,payment,472.71,7.92,464.79
TXN-4752788,2024-01-01,ACC-1123,transfer,4889.89,17.15,4872.74
TXN-5045983,2024-01-01,ACC-1037,payment,1279.26,30.95,1248.31
TXN-5287566,2024-01-01,ACC-1020,payment,53.49,1.00,52.49
TXN-5859132,2024-01-01,ACC-1090,payment,1464.87,42.78,1422.09
TXN-6553509,2024-01-01,ACC-1097,payment,1531.03,44.70,1486.33
TXN-6996465,2024-01-01,ACC-1123,payment,1788.44,29.63,1758.81
TXN-7164809,2024-01-01,ACC-1026,refund,63.25,0.25,63.00
TXN-8285399,2024-01-01,ACC-1045,payment,2420.90,70.51,2350.39
TXN-9180022,2024-01-01,ACC-1040,payment,1750.63,29.01,1721.62
TXN-9506299,2024-01-01,ACC-1114,transfer,2752.30,22.12,2730.18
TXN-9628247,2024-01-01,ACC-1092,payment,427.82,12.71,415.11
TXN-9807713,2024-01-01,ACC-1012,payment,464.09,11.39,452.70
TXN-9913034,2024-01-01,ACC-1117,payment,2056.26,49.60,2006.66
TXN-1241821,2024-01-02,ACC-1098,payment,166.19,5.12,161.07
TXN-1457572,2024-01-02,ACC-1083,payment,54.92,1.57,53.35
TXN-1744022,2024-01-02,ACC-1045,payment,1819.96,53.08,1766.88
TXN-2058061,2024-01-02,ACC-1080,refund,313.77,0.25,313.52
TXN-2482897,2024-01-02,ACC-1094,transfer,259.08,0.95,258.13
TXN-2775681,2024-01-02,ACC-1114,refund,49.67,0.25,49.42
TXN-2972594,2024-01-02,ACC-1081,payment,781.09,22.95,758.14
TXN-3382597,2024-01-02,ACC-1009,payment,295.70,8.88,286.82
TXN-3386921,2024-01-02,ACC-1050,transfer,2067.34,16.64,2050.70
TXN-3485192,2024-01-02,ACC-1130,payment,2124.83,51.25,2073.58
TXN-4050227,2024-01-02,ACC-1066,payment,2169.78,63.22,2106.56
TXN-4090925,2024-01-02,ACC-1012,payment,840.69,20.43,820.26
TXN-4200168,2024-01-02,ACC-1075,payment,279.81,4.74,275.07
TXN-4215932,2024-01-02,ACC-1011,payment,1377.80,22.85,1354.95
TXN-5148527,2024-01-02,ACC-1103,payment,875.82,25.70,850.12
TXN-5455958,2024-01-02,ACC-1049,payment,782.91,23.00,759.91
TXN-5891832,2024-01-02,ACC-1096,payment,23.15,0.81,22.34
TXN-6474937,2024-01-02,ACC-1128,payment,1156.53,28.01,1128.52
TXN-7612811,2024-01-02,ACC-1129,transfer,4034.26,32.37,4001.89
TXN-7855493,2024-01-02,ACC-1090,payment,371.34,11.07,360.27
TXN-8023568,2024-01-02,ACC-1103,payment,1265.29,36.99,1228.30
TXN-8361776,2024-01-02,ACC-1077,refund,79.66,0.25,79.41
TXN-8580227,2024-01-02,ACC-1092,payment,2048.26,59.70,1988.56
TXN-8758947,2024-01-02,ACC-1062,payment,409.83,12.19,397.64
TXN-8879835,2024-01-02,ACC-1038,payment,1069.35,31.31,1038.04
TXN-9138939,2024-01-02,ACC-1128,payment,223.12,5.60,217.52
TXN-9333050,2024-01-02,ACC-1023,payment,1886.21,45.52,1840.69
TXN-1154520,2024-01-03,ACC-1089,refund,119.37,0.25,119.12
TXN-1676020,2024-01-03,ACC-1104,payment,2385.12,39.47,2345.65
TXN-2260880,2024-01-03,ACC-1109,payment,2030.99,59.20,1971.79
TXN-2719443,2024-01-03,ACC-1077,payment,873.48,25.63,847.85
TXN-2763386,2024-01-03,ACC-1110,payment,2000.06,33.12,1966.94
TXN-2886995,2024-01-03,ACC-1073,payment,2415.02,58.21,2356.81
TXN-2922870,2024-01-03,ACC-1118,transfer,4306.40,34.55,4271.85
TXN-3191120,2024-01-03,ACC-1128,payment,1179.94,28.57,1151.37
TXN-3205302,2024-01-03,ACC-1054,payment,380.57,11.34,369.23
TXN-3672305,2024-01-03,ACC-1054,transfer,283.89,2.37,281.52
TXN-3872968,2024-01-03,ACC-1091,payment,2210.78,64.41,2146.37
TXN-5145007,2024-01-03,ACC-1112,payment,1332.63,32.23,1300.40
TXN-6890755,2024-01-03,ACC-1102,transfer,4714.41,16.54,4697.87
TXN-7096032,2024-01-03,ACC-1097,transfer,3978.92,31.93,3946.99
TXN-7401019,2024-01-03,ACC-1043,transfer,2156.06,17.35,2138.71
TXN-7542908,2024-01-03,ACC-1119,payment,1284.63,37.55,1247.08
TXN-7578857,2024-01-03,ACC-1107,refund,326.12,0.25,325.87
TXN-8677041,2024-01-03,ACC-1014,payment,1506.35,43.98,1462.37
TXN-9367948,2024-01-03,ACC-1026,payment,2438.06,58.76,2379.30
TXN-9631162,2024-01-03,ACC-1043,payment,2247.55,65.48,2182.07
TXN-1305875,2024-01-04,ACC-1052,payment,2266.51,54.65,2211.86
TXN-1343980,2024-01-04,ACC-1005,payment,1384.21,33.47,1350.74
TXN-3816095,2024-01-04,ACC-1047,payment,2173.50,63.33,2110.17
TXN-4958552,2024-01-04,ACC-1079,payment,1531.89,37.02,1494.87
TXN-5416921,2024-01-04,ACC-1044,payment,1623.74,47.39,1576.35
TXN-5497780,2024-01-04,ACC-1120,payment,166.48,4.25,162.23
