txn_id,date,account_id,type,gross_amount,fee_amount,net_amount
TXN-7222145,2023-11-20,ACC-1023,transfer,382.17,2.39,379.78
TXN-1298413,2025-09-01,ACC-1053,payment,1135.76,33.24,1102.52
TXN-2143606,2025-09-01,ACC-1128,transfer,741.81,4.55,737.26
TXN-2370161,2025-09-01,ACC-1091,payment,192.05,5.87,186.18
TXN-3486731,2025-09-01,ACC-1035,payment,62.93,1.16,61.77
TXN-3890753,2025-09-01,ACC-1007,payment,2214.66,53.40,2161.26
TXN-4552913,2025-09-01,ACC-1046,payment,355.55,10.61,344.94
TXN-4563271,2025-09-01,ACC-1035,payment,170.03,2.93,167.10
TXN-4895369,2025-09-01,ACC-1007,payment,10.24,0.50,9.74
TXN-5026311,2025-09-01,ACC-1044,refund,91.55,0.25,91.30
TXN-5083605,2025-09-01,ACC-1033,payment,1335.08,39.02,1296.06
TXN-5877887,2025-09-01,ACC-1043,payment,101.89,3.25,98.64
TXN-6057408,2025-09-01,ACC-1032,transfer,79.76,0.32,79.44
TXN-7018107,2025-09-01,ACC-1076,payment,1275.13,37.28,1237.85
TXN-7108379,2025-09-01,ACC-1058,transfer,4681.92,16.43,4665.49
TXN-7183229,2025-09-01,ACC-1010,refund,333.09,0.25,332.84
TXN-7229821,2025-09-01,ACC-1033,payment,2319.86,67.58,2252.28
TXN-7523448,2025-09-01,ACC-1110,transfer,1203.59,4.25,1199.34
TXN-7905122,2025-09-01,ACC-1009,refund,170.86,0.25,170.61
TXN-8082292,2025-09-01,ACC-1088,payment,1544.05,37.31,1506.74
TXN-8172022,2025-09-01,ACC-1091,payment,1217.77,35.62,1182.15
TXN-8217993,2025-09-01,ACC-1112,payment,1138.35,27.57,1110.78
TXN-8269433,2025-09-01,ACC-1123,payment,262.77,4.46,258.31
TXN-8390325,2025-09-01,ACC-1063,transfer,2020.86,16.27,2004.59
TXN-8686878,2025-09-01,ACC-1041,payment,1450.02,42.35,1407.67
TXN-8824679,2025-09-01,ACC-1074,payment,1035.25,30.32,1004.93
TXN-9263251,2025-09-01,ACC-1130,payment,1393.16,33.69,1359.47
TXN-9865502,2025-09-01,ACC-1125,payment,555.63,9.29,546.34
TXN-9922323,2025-09-01,ACC-1080,transfer,4920.07,39.46,4880.61
TXN-1393838,2025-09-02,ACC-1056,transfer,4981.43,29.99,4951.44
TXN-1438382,2025-09-02,ACC-1124,payment,551.70,9.22,542.48
TXN-1810067,2025-09-02,ACC-1047,payment,403.71,12.01,391.70
TXN-2173772,2025-09-02,ACC-1095,payment,996.54,29.20,967.34
TXN-2960353,2025-09-02,ACC-1057,payment,2400.43,69.91,2330.52
TXN-3620433,2025-09-02,ACC-1059,payment,1650.42,39.86,1610.56
TXN-4152104,2025-09-02,ACC-1070,transfer,3892.98,31.24,3861.74
TXN-4620060,2025-09-02,ACC-1020,transfer,4961.76,17.41,4944.35
TXN-5152309,2025-09-02,ACC-1056,payment,1339.79,32.40,1307.39
TXN-5223945,2025-09-02,ACC-1036,refund,223.23,0.25,222.98
TXN-5468422,2025-09-02,ACC-1067,payment,1171.99,28.38,1143.61
TXN-5758325,2025-09-02,ACC-1090,transfer,4386.51,35.19,4351.32
TXN-5764866,2025-09-02,ACC-1082,payment,1475.36,43.09,1432.27
TXN-6020673,2025-09-02,ACC-1005,payment,805.49,19.58,785.91
TXN-6353682,2025-09-02,ACC-1043,transfer,3598.01,28.88,3569.13
TXN-7168128,2025-09-02,ACC-1009,refund,7.18,0.25,6.93
TXN-7302515,2025-09-02,ACC-1043,payment,1787.81,52.15,1735.66
TXN-7384058,2025-09-02,ACC-1115,payment,1511.07,36.52,1474.55
TXN-7457743,2025-09-02,ACC-1097,payment,2284.65,66.55,2218.10
TXN-7708234,2025-09-02,ACC-1099,payment,980.78,16.30,964.48
TXN-8695024,2025-09-02,ACC-1097,payment,1704.58,49.73,1654.85
TXN-8843272,2025-09-02,ACC-1022,payment,1574.58,38.04,1536.54
TXN-8879524,2025-09-02,ACC-1070,payment,10.38,0.60,9.78
TXN-9787921,2025-09-02,ACC-1083,payment,1595.07,38.53,1556.54
TXN-1393659,2025-09-03,ACC-1037,transfer,3971.29,23.93,3947.36
TXN-1744251,2025-09-03,ACC-1090,refund,72.26,0.25,72.01
TXN-1766478,2025-09-03,ACC-1060,payment,1662.71,40.16,1622.55
TXN-1965799,2025-09-03,ACC-1022,payment,1413.33,34.17,1379.16
TXN-2086350,2025-09-03,ACC-1066,transfer,1359.97,10.98,1348.99
TXN-3392935,2025-09-03,ACC-1040,payment,2336.54,38.67,2297.87
TXN-3848129,2025-09-03,ACC-1080,transfer,315.22,2.62,312.60
TXN-4245507,2025-09-03,ACC-1109,payment,1082.85,31.70,1051.15
TXN-4281626,2025-09-03,ACC-1115,payment,2330.85,56.19,2274.66
TXN-5629279,2025-09-03,ACC-1074,payment,824.50,24.21,800.29
TXN-6344256,2025-09-03,ACC-1076,payment,703.83,20.71,683.12
TXN-6463563,2025-09-03,ACC-1093,payment,1485.83,35.91,1449.92
TXN-6802347,2025-09-03,ACC-1091,payment,857.13,25.16,831.97
TXN-7396046,2025-09-03,ACC-1013,payment,889.77,21.60,868.17
TXN-7766390,2025-09-03,ACC-1129,payment,1514.77,44.23,1470.54
TXN-7980734,2025-09-03,ACC-1056,transfer,2042.52,12.36,2030.16
TXN-8306587,2025-09-03,ACC-1060,payment,231.86,5.81,226.05
TXN-8409856,2025-09-03,ACC-1075,payment,1088.90,18.09,1070.81
TXN-8903655,2025-09-03,ACC-1071,payment,914.85,22.21,892.64
TXN-9106014,2025-09-03,ACC-1067,payment,1443.12,34.88,1408.24
TXN-9782568,2025-09-03,ACC-1106,payment,1994.92,58.15,1936.77
TXN-9854027,2025-09-03,ACC-1027,payment,504.23,8.44,495.79
TXN-9903949,2025-09-03,ACC-1038,payment,1005.10,29.45,975.65
TXN-1059222,2025-09-04,ACC-1105,payment,1006.46,29.49,976.97
TXN-1099983,2025-09-04,ACC-1119,payment,251.24,7.59,243.65
TXN-1118800,2025-09-04,ACC-1088,transfer,142.26,0.95,141.31
TXN-1797741,2025-09-04,ACC-1092,payment,1494.87,43.65,1451.22
TXN-1958018,2025-09-04,ACC-1121,payment,1733.49,50.57,1682.92
TXN-2459857,2025-09-04,ACC-1125,transfer,233.46,0.86,232.60
TXN-2461184,2025-09-04,ACC-1017,payment,594.53,17.54,576.99
TXN-2483971,2025-09-04,ACC-1013,payment,286.87,7.13,279.74
TXN-4197570,2025-09-04,ACC-1069,payment,1372.10,40.09,1332.01
TXN-4756785,2025-09-04,ACC-1088,payment,21.74,0.77,20.97
TXN-5669812,2025-09-04,ACC-1051,refund,198.84,0.15,198.69
TXN-5964471,2025-09-04,ACC-1120,payment,1583.59,38.26,1545.33
TXN-7536306,2025-09-04,ACC-1006,transfer,3993.90,32.05,3961.85
TXN-7610737,2025-09-04,ACC-1015,payment,1000.50,29.31,971.19
TXN-9771218,2025-09-04,ACC-1117,payment,1051.51,25.49,1026.02
TXN-1811626,2025-09-05,ACC-1044,transfer,3534.80,28.38,3506.42
TXN-3430216,2025-09-05,ACC-1113,transfer,61.21,0.59,60.62
TXN-4033390,2025-09-05,ACC-1100,payment,1961.72,32.49,1929.23
TXN-4554820,2025-09-05,ACC-1012,transfer,2852.23,17.21,2835.02
TXN-4597220,2025-09-05,ACC-1037,payment,2407.21,58.02,2349.19
TXN-4678349,2025-09-05,ACC-1027,payment,154.26,2.67,151.59
TXN-5484536,2025-09-05,ACC-1073,payment,1358.93,32.86,1326.07
TXN-5628402,2025-09-05,ACC-1052,transfer,613.11,3.78,609.33
TXN-6069232,2025-09-05,ACC-1065,payment,196.92,3.37,193.55
TXN-7015450,2025-09-05,ACC-1115,transfer,396.70,2.48,394.22
TXN-7209445,2025-09-05,ACC-1008,payment,418.28,12.43,405.85
TXN-9027801,2025-09-05,ACC-1122,payment,2344.18,68.28,2275.90
TXN-9036485,2025-09-05,ACC-1041,payment,660.46,19.45,641.01
TXN-9209372,2025-09-05,ACC-1089,payment,1367.94,33.08,1334.86
TXN-9423629,2025-09-05,ACC-1049,payment,628.01,18.51,609.50
TXN-2618482,2025-09-06,ACC-1084,transfer,4625.40,37.10,4588.30
TXN-3440706,2025-09-06,ACC-1061,transfer,2395.41,8.42,2386.99
TXN-4019014,2025-09-06,ACC-1060,payment,1218.93,29.50,1189.43
TXN-4323510,2025-09-06,ACC-1042,payment,1247.93,30.20,1217.73
TXN-4953929,2025-09-06,ACC-1120,payment,735.96,17.91,718.05
TXN-5062529,2025-09-06,ACC-1080,transfer,2038.59,16.41,2022.18
TXN-5480018,2025-09-06,ACC-1078,payment,970.27,28.44,941.83
TXN-5530486,2025-09-06,ACC-1081,refund,14.84,0.25,14.59
TXN-6701401,2025-09-06,ACC-1044,refund,214.14,0.25,213.89
TXN-7390126,2025-09-06,ACC-1028,payment,1536.99,44.87,1492.12
TXN-7683871,2025-09-06,ACC-1056,payment,1662.69,40.15,1622.54
TXN-8234244,2025-09-06,ACC-1057,payment,1278.31,37.37,1240.94
TXN-9765349,2025-09-06,ACC-1046,payment,900.83,26.42,874.41
TXN-1503375,2025-09-07,ACC-1054,transfer,648.75,5.29,643.46
