elapsed_seconds,timestamp,cpu_percent,rss_mb,pss_mb,uss_mb,footprint_mb,lazy_free_mb,live_mb,active_runs
0.021,2026-08-06T02:31:07,0.00,18.703,,,8.454,0.000,8.454,0
0.579,2026-08-06T02:31:07,0.00,18.703,,,8.454,0.000,8.454,0
1.126,2026-08-06T02:31:08,0.00,18.703,,,8.454,0.000,8.454,0
1.684,2026-08-06T02:31:08,0.00,18.703,,,8.454,0.000,8.454,0
2.223,2026-08-06T02:31:09,0.93,50.281,,,40.000,0.078,39.922,23
2.769,2026-08-06T02:31:09,1.48,103.562,,,93.000,0.094,92.906,63
3.316,2026-08-06T02:31:10,1.51,155.125,,,144.000,0.000,144.000,101
3.854,2026-08-06T02:31:10,1.74,198.094,,,186.000,0.203,185.797,140
4.396,2026-08-06T02:31:11,1.89,238.328,,,226.000,0.359,225.641,180
4.946,2026-08-06T02:31:11,1.95,279.375,,,265.000,1.406,263.594,222
5.487,2026-08-06T02:31:12,2.24,320.859,,,310.000,0.172,309.828,264
6.039,2026-08-06T02:31:13,2.31,360.734,,,347.000,0.438,346.562,304
6.588,2026-08-06T02:31:13,2.39,398.719,,,385.000,0.688,384.312,346
7.140,2026-08-06T02:31:14,2.67,440.438,,,429.000,0.703,428.297,388
7.683,2026-08-06T02:31:14,2.81,482.250,,,469.000,1.094,467.906,429
8.232,2026-08-06T02:31:15,3.00,525.062,,,514.000,0.375,513.625,472
8.782,2026-08-06T02:31:15,3.17,567.797,,,557.000,0.438,556.562,514
9.343,2026-08-06T02:31:16,3.31,608.891,,,599.000,0.312,598.688,556
9.894,2026-08-06T02:31:16,3.49,652.578,,,642.000,0.062,641.938,597
10.445,2026-08-06T02:31:17,3.65,697.953,,,688.000,0.047,687.953,640
10.999,2026-08-06T02:31:17,3.71,740.297,,,729.000,0.391,728.609,682
11.555,2026-08-06T02:31:18,3.91,783.828,,,773.000,1.016,771.984,725
12.109,2026-08-06T02:31:19,4.27,828.375,,,819.000,0.594,818.406,768
12.682,2026-08-06T02:31:19,4.34,878.031,,,869.000,0.594,868.406,817
13.246,2026-08-06T02:31:20,6.10,942.453,,,935.000,0.172,934.828,874
13.806,2026-08-06T02:31:20,5.82,979.391,,,968.000,0.359,967.641,928
14.369,2026-08-06T02:31:21,6.26,1004.531,,,993.000,2.156,990.844,983
14.933,2026-08-06T02:31:21,6.50,1027.875,,,1016.000,0.609,1015.391,1000
15.491,2026-08-06T02:31:22,6.12,1041.312,,,1030.000,0.359,1029.641,1000
16.055,2026-08-06T02:31:23,6.77,1059.797,,,1048.000,0.844,1047.156,1000
16.616,2026-08-06T02:31:23,6.55,1076.000,,,1061.000,3.344,1057.656,1000
17.180,2026-08-06T02:31:24,6.22,1088.125,,,1076.000,1.234,1074.766,1000
17.744,2026-08-06T02:31:24,6.89,1105.891,,,1092.000,3.172,1088.828,1000
18.310,2026-08-06T02:31:25,6.35,1124.891,,,1109.000,5.281,1103.719,1000
18.869,2026-08-06T02:31:25,6.71,1142.078,,,1126.000,6.109,1119.891,1000
19.430,2026-08-06T02:31:26,6.54,1160.078,,,1145.000,4.359,1140.641,1000
20.000,2026-08-06T02:31:26,5.97,1172.828,,,1159.000,2.094,1156.906,1000
20.564,2026-08-06T02:31:27,7.07,1189.297,,,1177.000,1.781,1175.219,1000
21.122,2026-08-06T02:31:28,6.67,1203.203,,,1188.000,3.391,1184.609,1000
21.682,2026-08-06T02:31:28,6.06,1214.141,,,1201.000,2.250,1198.750,1000
22.239,2026-08-06T02:31:29,7.29,1229.219,,,1213.000,4.578,1208.422,1000
22.804,2026-08-06T02:31:29,6.24,1238.531,,,1218.000,8.734,1209.266,998
23.369,2026-08-06T02:31:30,6.44,1247.234,,,1221.000,16.000,1205.000,988
23.927,2026-08-06T02:31:30,6.56,1258.219,,,1228.000,18.000,1210.000,982
24.489,2026-08-06T02:31:31,5.75,1266.031,,,1235.000,19.000,1216.000,971
25.053,2026-08-06T02:31:32,5.68,1274.297,,,1237.000,26.000,1211.000,972
25.618,2026-08-06T02:31:32,6.37,1282.719,,,1245.000,27.000,1218.000,976
26.186,2026-08-06T02:31:33,5.44,1289.094,,,1251.000,27.000,1224.000,979
26.749,2026-08-06T02:31:33,6.53,1297.734,,,1258.000,29.000,1229.000,978
